cas_rn,chemical_name,fraction,result_unit,streams_param,lakes_param,rownum,dups,CHEM_PARAMETER_CDE,CHEM_PARAMETER_GROUP_ME,CHEM_PARAMETER_NAME_DESC,CHEM_PARAMETER_EPA_SRS_NUM,CHEM_PARAMETER_ID,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID,check,notes.check,alt.pcode,altpcode
NA,CALCIUM,T,mg/L,NA,X,138,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CHLORIDE,T,mg/L,NA,X,139,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CHLOROPHYLL A,T,ug/L,NA,X,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CHLOROPHYLL A (PROBE RELATIVE FLUORESCENCE),NA,NA,NA,X,141,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CHLOROPHYLL A (PROBE),NA,ug/L,NA,X,142,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHLOROPHYTE (GREEN ALGAE)",NA,ug/L,NA,X,143,1,D65231,Biological,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CHRYSOPHYTA (BROWN ALGAE)",NA,ug/L,NA,X,144,1,D32287,Biological,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CRYPTOPHYTA (CRYPTOPHYTES)",NA,ug/L,NA,X,145,1,U32287,Biological,"Chlorophyll a, cryptophytes, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, CYANOBACTERIA (BLUEGREEN)",NA,ug/L,NA,X,146,1,U32286,Biological,"Chlorophyll a, cyanobacteria, in situ, fluorescence excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"CHLOROPHYLL A (PROBE) CONCENTRATION, DINOPHYTA (DIATOMS)",NA,ug/L,NA,X,147,1,U32288,Biological,"Chlorophyll a, diatoms and dinoflagellates, in situ, excitation at 370, 470, 525, 570, 590, 610 nm, fluorescence emission at 700 nm with correction for CDOM, ug/L",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"COLOR, UNKNOWN",T,color units,NA,X,148,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CONDUCTIVITY,T,ugS/cm,NA,X,149,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,COPPER,T,ug/L,NA,X,150,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,CYLINDROSPERMOPSIN,NA,ug/L,NA,X,151,1,U65190,"Organics, other","Cylindrospermopsin, water, filtered, recoverable, micrograms per liter",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,DEPTH,NA,m,NA,X,152,1,U72147,Information,"Depth of sensor below water surface, feet",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"DEPTH, BOTTOM",NA,m,NA,X,153,1,U82903,Physical,"Depth to bottom from water surface, at sampling location, meters",Depth,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"DEPTH, SECCHI DISK DEPTH",NA,m,NA,X,154,1,U00078,Physical,"Transparency, water, in situ, Secchi disc, meters","Water transparency, Secchi disc","NA","NA","NA","NA","NA",NA,NA,NA,"NA"
NA,DIBROMODIFLUOROMETHANE,T,%,NA,X,155,1,U52001,Information,"Dibromofluoromethane, surrogate, water, unfiltered, percent recovery",NA,"NA","NA","NA","NA","NA",yes,NA,NA,"NA"
NA,DIHYDRO-ATX-A,NA,ug/L,NA,X,156,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,DISSOLVED ORGANIC CARBON,D,mg/L,NA,X,157,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,DISSOLVED OXYGEN (DO),NA,mg/L,NA,X,158,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,DISSOLVED OXYGEN SATURATION,NA,%,NA,X,159,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,DOMINANT ALGAL SPECIES,NA,NA,NA,X,160,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ETHYLBENZENE,T,mg/L,NA,X,161,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,FLUORIDE,T,mg/L,NA,X,162,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,IRON,T,ug/L,NA,X,163,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"M-XYLENE (1,3-DIMETHYLBENZENE)",T,mg/L,NA,X,164,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MAGNESIUM,T,ug/L,NA,X,165,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MANGANESE,T,ug/L,NA,X,166,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MICROCYSTIN,NA,ug/L,NA,X,167,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MICROCYSTIN AR,NA,ug/L,NA,X,168,1,D63686,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN DLR,NA,ug/L,NA,X,169,1,D63687,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN DRR,NA,ug/L,NA,X,170,1,D63688,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN FR,NA,ug/L,NA,X,171,1,D63689,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN HYR,NA,ug/L,NA,X,172,1,D63690,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN LA,NA,ug/L,NA,X,173,1,D63691,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN LR,NA,ug/L,NA,X,174,1,D63692,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN LW,NA,ug/L,NA,X,175,1,D63693,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN LY,NA,ug/L,NA,X,176,1,D63694,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN MLR,NA,ug/L,NA,X,177,1,D63695,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN MRR,NA,ug/L,NA,X,178,1,D63696,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN RR,NA,ug/L,NA,X,179,1,D63697,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN UNKNOWN,NA,ug/L,NA,X,180,1,D63698,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN WR,NA,ug/L,NA,X,181,1,D63699,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,MICROCYSTIN YR,NA,ug/L,NA,X,182,1,D63700,"Organics, other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,NITRITE,T,mg/L,NA,X,183,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NITROGEN, KJELDAHL, TOTAL",T,mg/L,NA,X,184,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NITROGEN, NITRATE-NITRITE",T,mg/L,NA,X,185,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NITROGEN, NITRATE (AS N)",T,mg/L,NA,X,186,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NITROGEN, TOTAL",T,mg/L,NA,X,187,1,U00602,Nutrient,"Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, filtered, milligrams per liter","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"NITROGEN, TOTAL DISSOLVED",D,mg/L,NA,X,188,1,U71856,Nutrient,"Nitrite, water, filtered, milligrams per liter as nitrite",Nitrite,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,"O-XYLENE (1,2-DIMETHYLBENZENE)",T,mg/L,NA,X,189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,ORTHOPHOSPHATE,D,mg/L,NA,X,190,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OXIDATION REDUCTION POTENTIAL (ORP),NA,mV,NA,X,191,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"P-XYLENE (1,4-DIMETHYLBENZENE)",T,mg/L,NA,X,192,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PH,NA,pH units,NA,X,193,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PH FOR COLOR ANALYSIS,T,pH units,NA,X,194,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PH FOR COLOR ANALYSIS,NA,pH units,NA,X,195,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PHOSPHORUS,D,mg/L,NA,X,196,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PHOSPHORUS,T,mg/L,NA,X,197,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PHOSPHORUS,NA,mg/L,NA,X,198,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PHYCOCYANIN,NA,ug/L,NA,X,199,1,D32329,Biological,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,PHYCOCYANIN (PROBE RELATIVE FLUORESCENCE),NA,NA,NA,X,200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,PHYCOCYANIN (PROBE),NA,ug/L,NA,X,201,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,POTASSIUM,T,ug/L,NA,X,202,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SILICA,T,mg/L,NA,X,203,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SODIUM,T,ug/L,NA,X,204,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SOLUBLE REACTIVE PHOSPHORUS (SRP),NA,mg/L,NA,X,205,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SPECIFIC CONDUCTANCE,NA,uS/cm,NA,X,206,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SULFATE (AS SO4),T,mg/L,NA,X,207,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TEMPERATURE, AIR",NA,deg C,NA,X,208,1,U00020,Physical,"Temperature, air, degrees Celsius","Temperature, air, deg C","NA","NA","NA","NA","NA",NA,NA,NA,"NA"
NA,"TEMPERATURE, WATER",NA,deg C,NA,X,209,1,U00010,Physical,"Temperature, water, degrees Celsius","Temperature, water","NA","NA","NA","NA","NA",NA,NA,NA,"NA"
NA,TOTAL DISSOLVED SOLIDS,NA,mg/L,NA,X,210,1,U70301,Physical,"Dissolved solids, water, filtered, sum of constituents, milligrams per liter",Total dissolved solids,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
NA,TOTAL HARDNESS,T,mg/L,NA,X,211,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TOTAL ORGANIC CARBON,T,mg/L,NA,X,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL PHOSPHORUS, MIXED FORMS",T,mg/L,NA,X,213,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL PHOSPHORUS, MIXED FORMS",NA,mg/L,NA,X,214,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TOTAL SUSPENDED SOLIDS,T,mg/L,NA,X,215,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TRUE COLOR,T,color units,NA,X,216,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TURBIDITY,T,NTU,NA,X,217,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,TURBIDITY,NA,FNU,NA,X,218,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,UV 254,T,1/cm,NA,X,219,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
