cas_rn,chemical_name,fraction,result_unit
74472-53-0,"OCTACHLOROBIPHENYL, 2,3,3',4,4',5,5',6- (IUPAC 205)",T,percent
40186-72-9,"NONACHLOROBIPHENYL, 2,2',3,3',4,4',5,5',6- (IUPAC 206)",T,percent
52663-77-1,"NONACHLOROBIPHENYL, 2,2',3,3',4,5,5',6,6'- (IUPAC 208)",T,percent
2051-24-3,DECACHLOROBIPHENYL (PCB 209),T,percent
2051-62-9,"CHLOROBIPHENYL, 4- (IUPAC 3)",T,percent
38444-90-5,"TRICHLOROBIPHENYL, 3,4,4'- (IUPAC 37)",T,percent
13029-08-8,"DICHLOROBIPHENYL, 2,2'- (IUPAC 4)",T,percent
15968-05-5,"TETRACHLOROBIPHENYL, 2,2',6,6'- (IUPAC 54)",T,percent
32598-13-3,"TETRACHLOROBIPHENYL, 3,3',4,4'- (IUPAC 77)",T,percent
70362-50-4,"TETRACHLOROBIPHENYL, 3,4,4',5- (IUPAC 81)",T,percent
2051-60-7,"MONOCHLOROBIPHENYL, 2- (IUPAC 1)",T,percent
56558-16-8,"PENTACHLOROBIPHENYL, 2,2',4,6,6'- (IUPAC 104)",T,percent
7782-49-2,SELENIUM,T,ug/l
